word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
crap,84,35,6522,24952,0.012715712988192553,0.0014007283787569537,119,9.106014392217622,3.1868197395640725,178.25946013154564,1.1626815476151372e-40,6606,24987,negative,1.2845477987170202e-38,True
generated,211,249,6395,24738,0.031940660006055104,0.009965181894585184,460,3.2789793487373466,1.7132468155559086,175.84961245835768,3.9054911439764125e-40,6606,24987,negative,4.23639275726605e-38,True
ass,100,57,6506,24930,0.015137753557372086,0.002281186216832753,157,6.69702270973174,2.7435198602647626,174.64923150546517,7.141771125189941e-40,6606,24987,negative,7.608536880871998e-38,True
trying,383,644,6223,24343,0.05797759612473509,0.025773402169127945,1027,2.3275058007004783,1.21878476332924,172.28972129581553,2.33930905746118e-39,6606,24987,negative,2.448476813476035e-37,True
car,192,215,6414,24772,0.029064486830154404,0.008604474326649857,407,3.449772746961233,1.78650132779499,171.98923288302728,2.7209001545067902e-39,6606,24987,negative,2.7987741934116396e-37,True
locked,127,99,6479,24888,0.01922494701786255,0.003962060271341097,226,4.922030865803669,2.2992537048912096,171.37027511736642,3.714424999257148e-39,6606,24987,negative,3.7559761941640925e-37,True
lazy,85,39,6521,24948,0.012867090523766273,0.0015608116220434626,124,8.280679194524053,3.0497491047276535,170.83557541054498,4.86038911504879e-39,6606,24987,negative,4.832846910063513e-37,True
ruined,69,22,6537,24965,0.01044504995458674,0.0008804578380757994,91,11.795893775228384,3.560212830653189,166.41671408383,4.485797733654871e-38,6606,24987,negative,4.3872572588499934e-36,True
soulless,48,3,6558,24984,0.007266121707538601,0.00012006243246488174,51,52.788562280138095,5.722153468992883,165.5454995394484,6.952611557888981e-38,6606,24987,negative,6.690206541026719e-36,True
trash,135,118,6471,24869,0.020435967302452316,0.004722455676952015,253,4.394232615515416,2.135611243081124,162.39421069425626,3.3928576636523483e-37,6606,24987,negative,3.2129823525952235e-35,True
unfinished,92,52,6514,24935,0.01392673327278232,0.002081082162724617,144,6.744028887938628,2.7536107160540966,161.58167114506278,5.106020268551289e-37,6606,24987,negative,4.759768269090155e-35,True
cheaters,45,2,6561,24985,0.006811989100817439,8.004162164325449e-05,47,69.30368056084737,6.114860067536729,159.39798787242276,1.5317300706760083e-36,6606,24987,negative,1.4058925541004717e-34,True
account,73,29,6533,24958,0.011050560096881623,0.00116060351382719,102,9.51782923213218,3.2506325700514442,158.79824560612545,2.0712055603045608e-36,6606,24987,negative,1.8722442989056077e-34,True
unless,184,217,6422,24770,0.02785346654556464,0.008684515948293113,401,3.271657024737923,1.7100215151975096,153.1978375403799,3.467655771759763e-35,6606,24987,negative,3.042357990340992e-33,True
unfortunately,184,217,6422,24770,0.02785346654556464,0.008684515948293113,401,3.271657024737923,1.7100215151975096,153.1978375403799,3.467655771759763e-35,6606,24987,negative,3.042357990340992e-33,True
seems,332,553,6274,24434,0.05025734181047532,0.022131508384359868,885,2.339366989441138,1.2261182029966422,151.79572882547066,7.022167656350262e-35,6606,24987,negative,6.071630759099372e-33,True
killed,97,64,6509,24923,0.014683620950650924,0.0025613318925841438,161,5.78770383893308,2.532991099990884,151.43104977968798,8.436763573234834e-35,6606,24987,negative,7.190533068274146e-33,True
back,545,1116,6061,23871,0.08250075688767787,0.044663224876936004,1661,1.9241353895374325,0.9442103162296517,150.17020976350503,1.5913146632416791e-34,6606,24987,negative,1.3371525747746279e-32,True
disappointed,121,104,6485,24883,0.018316681804420223,0.004162164325449234,225,4.460956517280544,2.157353085657002,148.03497829425177,4.661063592021149e-34,6606,24987,negative,3.862209081944191e-32,True
lacking,98,68,6508,24919,0.014834998486224644,0.002721415135870653,166,5.505592630411999,2.460897866049204,146.68233133047127,9.208219760736067e-34,6606,24987,negative,7.525512204459093e-32,True
load,140,139,6466,24848,0.02119285498032092,0.005562892704206187,279,3.870196466098921,1.9524068049929992,145.8198552468628,1.4214238762507007e-33,6606,24987,negative,1.1459749791502272e-31,True
