scope,sentiment,keyword,category,source_filter,review_count,review_share_pct
Group 2 (AI Added - Historic),negative,ai,"strict_core,tech","soft,strict",60,10.169
Group 2 (AI Added - Historic),negative,trash,quality,soft,29,4.915
Group 2 (AI Added - Historic),negative,cheap,quality,soft,20,3.39
Group 2 (AI Added - Historic),negative,garbage,quality,soft,9,1.525
Group 2 (AI Added - Historic),negative,theft,ethics,soft,9,1.525
Group 2 (AI Added - Historic),negative,creativity,human,soft,6,1.017
Group 2 (AI Added - Historic),negative,gpt,tech,soft,5,0.847
