direction,word,doc_freq_total,neg_docs_with_word,pos_docs_with_word,neg_rate_pct,pos_rate_pct,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value_fdr_bh,significant_5pct
positive-leaning,offers,114,3,111,0.21,1.33,0.177,-2.494,13.666,0.0010453043694116117,True
positive-leaning,sessions,77,0,77,0.0,0.92,0.037,-4.774,13.57,0.0010892254770176774,True
positive-leaning,satisfying,196,11,185,0.75,2.22,0.349,-1.518,13.568,0.0010892254770176774,True
positive-leaning,brain,113,3,110,0.21,1.32,0.179,-2.481,13.493,0.0011298241789616146,True
positive-leaning,masterpiece,88,1,87,0.07,1.04,0.097,-3.365,13.246,0.0012846598347678703,True
positive-leaning,rewarding,133,5,128,0.34,1.54,0.242,-2.048,13.169,0.0013335956053083843,True
positive-leaning,peak,132,5,127,0.34,1.52,0.244,-2.037,13.002,0.0014407816144040896,True
positive-leaning,easy,607,60,547,4.12,6.56,0.616,-0.7,12.76,0.0016080821944965986,True
positive-leaning,traditional,84,1,83,0.07,1.0,0.102,-3.297,12.539,0.0018020516950653987,True
positive-leaning,unlike,96,2,94,0.14,1.13,0.15,-2.739,12.538,0.0018020516950653987,True
positive-leaning,delivers,70,0,70,0.0,0.84,0.04,-4.636,12.327,0.0019999475441028437,True
positive-leaning,bullet,106,3,103,0.21,1.24,0.191,-2.386,12.288,0.0020392185823142318,True
positive-leaning,writing,270,20,250,1.37,3.0,0.46,-1.12,12.248,0.002076881499162547,True
positive-leaning,lore,82,1,81,0.07,0.97,0.104,-3.261,12.186,0.0021357706324318963,True
positive-leaning,solid,241,17,224,1.17,2.69,0.439,-1.188,11.954,0.002395006190673107,True
positive-leaning,helps,92,2,90,0.14,1.08,0.156,-2.676,11.841,0.0025364069326548524,True
positive-leaning,colorful,80,1,79,0.07,0.95,0.107,-3.225,11.833,0.002542595043378255,True
positive-leaning,best,606,61,545,4.19,6.54,0.629,-0.669,11.83,0.00254271624784384,True
positive-leaning,tracks,103,3,100,0.21,1.2,0.197,-2.343,11.774,0.0025997805430126655,True
