word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
shit,278,0,8452,31633,0.031844215349369986,0.0,278,2084.573735581189,11.025536688746932,1014.3141487626308,1.3896577131397292e-222,8730,31633,negative,9.574741643532735e-219,True
boring,496,294,8234,31339,0.056815578465063,0.00929409161318876,790,6.416360892476795,2.6817552894150154,805.1782545703088,4.038498038929365e-177,8730,31633,negative,1.3912625744111662e-173,True
money,854,890,7876,30743,0.09782359679266896,0.028135175291625833,1744,3.7453997247585398,1.9051196973630298,803.7330245887571,8.326006151913531e-177,8730,31633,negative,1.912206079556141e-173,True
refund,327,91,8403,31542,0.03745704467353952,0.002876742642177473,418,13.434642604353312,3.747886037393234,798.2830721967862,1.2745375445850956e-175,8730,31633,negative,2.1953909205478272e-172,True
slop,306,104,8424,31529,0.03505154639175258,0.003287705876774255,410,10.977087788777379,3.456423454334507,686.5478706832371,2.5176679949267435e-151,8730,31633,negative,3.469346497009053e-148,True
waste,286,119,8444,31514,0.03276059564719359,0.003761894224385926,405,8.947324779491789,3.1614563858075155,579.2104623833349,5.56956697068295e-128,8730,31633,negative,6.395719404667587e-125,True
unplayable,215,55,8515,31578,0.024627720504009163,0.0017386906079094617,270,14.399109519947991,3.8479076891328234,539.461576984334,2.469251956308427e-119,8730,31633,negative,2.4304494255664376e-116,True
terrible,270,116,8460,31517,0.030927835051546393,0.003667056554863592,386,8.649620947432311,3.112636910871682,536.8056350079761,9.340360916733704e-119,8730,31633,negative,8.044385839536902e-116,True
worse,247,102,8483,31531,0.02829324169530355,0.0032244807637593653,349,8.97471993697953,3.1658669192326276,501.6102537507393,4.242410571110454e-111,8730,31633,negative,3.2478009816612254e-108,True
anything,591,673,8139,30960,0.06769759450171821,0.02127525052951032,1264,3.3406223867377927,1.740116914259313,486.04834587108377,1.0319391293300543e-107,8730,31633,negative,7.110060601084073e-105,True
why,614,729,8116,30904,0.07033218785796105,0.023045553693927228,1343,3.207373374041075,1.681392309352662,475.6106707051346,1.926907984458273e-105,8730,31633,negative,1.2069450920834091e-102,True
