direction,word,doc_freq_total,neg_docs_with_word,pos_docs_with_word,neg_rate_pct,pos_rate_pct,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value_fdr_bh,significant_5pct
positive-leaning,satisfying,853,68,785,0.78,2.48,0.311,-1.687,95.882,4.4208955296954214e-21,True
positive-leaning,tension,537,24,513,0.27,1.62,0.171,-2.552,94.539,8.535888802654768e-21,True
positive-leaning,endings,554,27,527,0.31,1.67,0.186,-2.424,93.029,1.811862514405673e-20,True
positive-leaning,perfect,962,87,875,1.0,2.77,0.356,-1.491,92.082,2.8939350888021924e-20,True
positive-leaning,offers,780,60,720,0.69,2.28,0.299,-1.74,91.135,4.533240980706932e-20,True
positive-leaning,genre,1009,95,914,1.09,2.89,0.371,-1.429,91.07,4.6280181206281716e-20,True
positive-leaning,succeeds,353,3,350,0.03,1.11,0.036,-4.804,90.708,5.489695017900172e-20,True
positive-leaning,addictive,443,14,429,0.16,1.36,0.121,-3.049,90.13,7.28206131607097e-20,True
positive-leaning,excellent,503,23,480,0.26,1.52,0.175,-2.515,87.416,2.742182007200632e-19,True
positive-leaning,driven,531,27,504,0.31,1.59,0.195,-2.359,86.884,3.5722630827156517e-19,True
positive-leaning,memorable,382,8,374,0.09,1.18,0.081,-3.62,86.818,3.6764330423573163e-19,True
positive-leaning,developed,682,49,633,0.56,2.0,0.279,-1.842,85.383,7.4293096938873665e-19,True
positive-leaning,storytelling,463,19,444,0.22,1.4,0.157,-2.671,84.864,9.534171259953693e-19,True
positive-leaning,seeking,338,4,334,0.05,1.06,0.048,-4.373,84.056,1.3866902615257588e-18,True
positive-leaning,delivers,337,4,333,0.05,1.05,0.048,-4.369,83.776,1.5710323206616317e-18,True
positive-leaning,solid,894,82,812,0.94,2.57,0.362,-1.466,83.689,1.635471108305406e-18,True
positive-leaning,traditional,332,4,328,0.05,1.04,0.049,-4.347,82.379,3.1216356241507937e-18,True
positive-leaning,action,773,66,707,0.76,2.24,0.335,-1.576,79.672,1.1713358701606594e-17,True
positive-leaning,environments,469,23,446,0.26,1.41,0.189,-2.407,78.303,2.307292541987313e-17,True
