scope,n_negative_reviews,n_positive_reviews,n_negative_games,n_positive_games,n_words_tested,n_significant_5pct,significant_share_pct,full_table,pretty_table,top_negative,top_positive
Group 1 (Native AI),6606,24987,424,421,5966,2917,48.89,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/contingency_group_1_native_ai.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/contingency_pretty_group_1_native_ai.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_negative_words_group_1_native_ai.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_positive_words_group_1_native_ai.csv
Group 2 (AI Added - Historic),590,480,14,6,530,338,63.77,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/contingency_group_2_ai_added_historic.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/contingency_pretty_group_2_ai_added_historic.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_negative_words_group_2_ai_added_historic.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_positive_words_group_2_ai_added_historic.csv
Group 2 (AI Added - Recent),2124,6646,101,101,2831,1576,55.67,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/contingency_group_2_ai_added_recent.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/contingency_pretty_group_2_ai_added_recent.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_negative_words_group_2_ai_added_recent.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_positive_words_group_2_ai_added_recent.csv
Group 3 (Control / No AI),867,7853,101,101,2399,632,26.34,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/contingency_group_3_control_no_ai.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/contingency_pretty_group_3_control_no_ai.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_negative_words_group_3_control_no_ai.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_positive_words_group_3_control_no_ai.csv
overall,10187,39966,626,623,7697,3940,51.19,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/contingency_overall.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/contingency_pretty_overall.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_negative_words_overall.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_positive_words_overall.csv
