word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
again,140,215,1984,6431,0.06591337099811675,0.03235028588624737,355,2.112954866573251,1.0792619511505772,46.6826732718817,8.346371598519073e-12,2124,6646,negative,3.0686464929100643e-10,True
selling,19,3,2105,6643,0.008945386064030132,0.00045139933794763765,22,17.579570512603045,4.135827919242023,46.40942027631052,9.595309008329897e-12,2124,6646,negative,3.438521493997714e-10,True
refunded,19,3,2105,6643,0.008945386064030132,0.00045139933794763765,22,17.579570512603045,4.135827919242023,46.40942027631052,9.595309008329897e-12,2124,6646,negative,3.438521493997714e-10,True
seems,84,101,2040,6545,0.03954802259887006,0.015197111044237136,185,2.670526517817158,1.4171242099867845,46.220310788719544,1.0567579039801566e-11,2124,6646,negative,3.739602032709779e-10,True
poor,39,26,2085,6620,0.018361581920903956,0.003912127595546194,65,4.731859243744996,2.24240715918672,45.68095805766458,1.3916909509731659e-11,2124,6646,negative,4.86404578050004e-10,True
theyve,23,7,2101,6639,0.010828625235404897,0.0010532651218778213,30,9.89948449520184,3.307353400386224,45.11773467549703,1.855375358161762e-11,2124,6646,negative,6.405570291409692e-10,True
useless,31,16,2093,6630,0.014595103578154425,0.0024074631357207344,47,6.046442451744578,2.5960865528297203,44.85284328899447,2.124122109083168e-11,2124,6646,negative,7.245047820258371e-10,True
simple,26,286,2098,6360,0.01224105461393597,0.043033403551008126,312,0.28035191762087186,-1.834689156944521,44.481334369609215,2.5679386360968966e-11,2124,6646,positive,8.654564617607517e-10,True
ago,67,72,2057,6574,0.03154425612052731,0.010833584110743304,139,2.9750115221854445,1.5728952559727192,44.26157947272497,2.8729991242067254e-11,2124,6646,negative,9.568777083093223e-10,True
mmo,39,27,2085,6619,0.018361581920903956,0.004062594041528739,66,4.559102896623875,2.18874997046036,44.06179858229279,3.181702403511913e-11,2124,6646,negative,1.047372035388631e-09,True
came,41,30,2083,6616,0.019303201506591337,0.0045139933794763765,71,4.320988091444487,2.1113612548948635,43.84061165408121,3.56235861218011e-11,2124,6646,negative,1.1591996817335509e-09,True
annoying,50,44,2074,6602,0.023540489642184557,0.0066205236232320195,94,3.6118219904078686,1.852726790968202,43.45762807499686,4.332395096517089e-11,2124,6646,negative,1.3937511952545317e-09,True
rating,5,167,2119,6479,0.0023540489642184556,0.025127896479085164,172,0.10038202476647196,-3.316427143347681,43.41715599330867,4.4229332569617864e-11,2124,6646,positive,1.4068903427481816e-09,True
log,18,3,2106,6643,0.00847457627118644,0.00045139933794763765,21,16.670136651859888,4.059194025615564,43.373999573313625,4.521563835701493e-11,2124,6646,negative,1.4222830243189918e-09,True
generative,19,4,2105,6642,0.008945386064030132,0.0006018657839301836,23,13.670941185783265,3.7730406646287107,42.8376987075822,5.947489978855835e-11,2124,6646,negative,1.850257596718777e-09,True
premium,21,6,2103,6640,0.009887005649717515,0.0009027986758952753,27,10.441992283922401,3.3843250926112383,42.33013924042903,7.70952722607843e-11,2124,6646,negative,2.3723556061986993e-09,True
should,138,221,1986,6425,0.06497175141242938,0.03325308456214264,359,2.0225273417236775,1.0161592059939586,41.24793507069555,1.3409342836489583e-10,2124,6646,negative,4.0819193086131195e-09,True
atmosphere,12,201,2112,6445,0.005649717514124294,0.030243755642491724,213,0.18927569853319043,-2.401438902315057,41.08402561049644,1.458233053029991e-10,2124,6646,positive,4.391763588433941e-09,True
story,63,445,2061,6201,0.029661016949152543,0.06695756846223293,508,0.4287848436122347,-1.221674183569091,41.03013031048922,1.4990038822311748e-10,2124,6646,positive,4.467031569048901e-09,True
simply,46,40,2078,6606,0.021657250470809793,0.006018657839301836,86,3.6493821220787783,1.8676522215622569,40.540724948594935,1.9256042726361608e-10,2124,6646,negative,5.678526766492678e-09,True
damn,30,17,2094,6629,0.014124293785310734,0.00255792958170328,47,5.516481942502472,2.463748502117569,40.39656511039474,2.0730523918039328e-10,2124,6646,negative,6.050320949687561e-09,True
longer,50,47,2074,6599,0.023540489642184557,0.007071922961179657,97,3.382169451104261,1.7579489424633452,39.91029769542142,2.6589766174792957e-10,2124,6646,negative,7.681186534779475e-09,True
launch,29,16,2095,6630,0.013653483992467044,0.0024074631357207344,45,5.657136866156193,2.5000720753013277,39.878082044047986,2.7031961183996957e-10,2124,6646,negative,7.73004869817125e-09,True
rec,23,9,2101,6637,0.010828625235404897,0.001354198013842913,32,7.813028288064916,2.9658818376609557,39.74279002180874,2.8970812741073285e-10,2124,6646,negative,8.201637086997847e-09,True
randomly,21,7,2103,6639,0.009887005649717515,0.0010532651218778213,28,9.048363838047699,3.17765694179387,39.46707004978698,3.3363843659921486e-10,2124,6646,negative,9.351786277350271e-09,True
curve,4,148,2120,6498,0.0018832391713747645,0.022269034005416792,152,0.09286689102770215,-3.4286918521973972,39.2753137606943,3.6806548656984244e-10,2124,6646,positive,1.0152631218228357e-08,True
dlc,104,151,2020,6495,0.04896421845574388,0.02272043334336443,255,2.2174681462207095,1.1489133804589269,39.26834121518448,3.6938220257065375e-10,2124,6646,negative,1.0152631218228357e-08,True
rough,9,178,2115,6468,0.00423728813559322,0.02678302738489317,187,0.1627331149902646,-2.6194202361879797,39.20691611210849,3.811875765509654e-10,2124,6646,positive,1.0376365665536376e-08,True
fans,3,141,2121,6505,0.0014124293785310734,0.02121576888353897,144,0.07584889350074828,-3.720728055480755,39.085832164379525,4.0557655285390303e-10,2124,6646,positive,1.0935116391708567e-08,True
server,36,26,2088,6620,0.01694915254237288,0.003912127595546194,62,4.366196737750755,2.126377138616067,38.972774621179575,4.297572914120662e-10,2124,6646,negative,1.1477763131958109e-08,True
easy,42,343,2082,6303,0.01977401129943503,0.05160999097201324,385,0.37450613433146185,-1.4169387449694282,38.867542644268234,4.5355955161880765e-10,2124,6646,positive,1.2000253183484528e-08,True
fix,79,101,2045,6545,0.0371939736346516,0.015197111044237136,180,2.50636564945519,1.3255969023590095,38.740949225111855,4.839490133360039e-10,2124,6646,negative,1.268573756253914e-08,True
action,7,164,2117,6482,0.003295668549905838,0.024676497141137527,171,0.1395771953937193,-2.8408648466056268,38.487477410882256,5.510613727739459e-10,2124,6646,positive,1.4312428865349e-08,True
