threshold_min_reviews_per_game,BA_Group,n_games_total,n_reviews_total,n_games_kept,n_reviews_kept,game_coverage_pct,review_coverage_pct,ai_criticism_hits,ai_criticism_pct,ai_criticism_ci95_low_pct,ai_criticism_ci95_high_pct
10,AI-Label,525,8730,169,7336,32.19047619047619,84.03207331042383,1744,23.773173391494,22.81291279922978,24.760887703494962
10,ALL_GROUPS,626,10187,203,8614,32.42811501597444,84.5587513497595,1935,22.4634316229394,21.594474608304925,23.356938747911787
10,No AI-Label,115,1457,37,1231,32.17391304347826,84.48867536032945,182,14.78472786352559,12.911478913615609,16.877086680546427
20,AI-Label,525,8730,102,6440,19.428571428571427,73.76861397479955,1455,22.593167701863354,21.588291109239435,23.63072234385352
20,ALL_GROUPS,626,10187,127,7587,20.287539936102235,74.47727495828016,1645,21.681824172927374,20.76902221586877,22.62328885540954
20,No AI-Label,115,1457,25,1064,21.73913043478261,73.02676733013041,168,15.789473684210526,13.721982051421838,18.10311260681211
30,AI-Label,525,8730,70,5665,13.333333333333334,64.89117983963345,1261,22.2594880847308,21.195219229002802,23.361354727835216
30,ALL_GROUPS,626,10187,89,6680,14.217252396166133,65.57377049180327,1444,21.61676646706587,20.646097880725208,22.620062107267316
30,No AI-Label,115,1457,19,936,16.52173913043478,64.24159231297186,161,17.200854700854702,14.91842507438575,19.751417162859337
40,AI-Label,525,8730,52,5044,9.904761904761905,57.77777777777777,1076,21.332275971451228,20.22377423050109,22.484412175348094
40,ALL_GROUPS,626,10187,67,5924,10.702875399361023,58.15254736428782,1244,20.99932478055368,19.981074994102496,22.055162951256914
40,No AI-Label,115,1457,15,801,13.043478260869565,54.975978037062454,146,18.22721598002497,15.707302698813356,21.05043944572788
50,AI-Label,525,8730,42,4603,8.0,52.726231386025205,966,20.98631327395177,19.834349751088958,22.18666525407206
50,ALL_GROUPS,626,10187,55,5398,8.78594249201278,52.98910375969372,1134,21.00778065950352,19.941859203660258,22.114938611366384
50,No AI-Label,115,1457,12,678,10.434782608695652,46.533973919011665,146,21.533923303834808,18.60470162991185,24.78390944925962
