direction,word,doc_freq_total,neg_docs_with_word,pos_docs_with_word,neg_rate_pct,pos_rate_pct,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value_fdr_bh,significant_5pct
positive-leaning,young,24,0,24,0.0,5.0,0.016,-5.986,30.177,6.532021218825355e-07,True
positive-leaning,parents,24,0,24,0.0,5.0,0.016,-5.986,30.177,6.532021218825355e-07,True
positive-leaning,twists,23,0,23,0.0,4.79,0.016,-5.923,28.892,1.0488607676445568e-06,True
positive-leaning,finish,23,0,23,0.0,4.79,0.016,-5.923,28.892,1.0488607676445568e-06,True
positive-leaning,reader,23,0,23,0.0,4.79,0.016,-5.923,28.892,1.0488607676445568e-06,True
positive-leaning,spoil,23,0,23,0.0,4.79,0.016,-5.923,28.892,1.0488607676445568e-06,True
positive-leaning,attention,23,0,23,0.0,4.79,0.016,-5.923,28.892,1.0488607676445568e-06,True
positive-leaning,paced,23,0,23,0.0,4.79,0.016,-5.923,28.892,1.0488607676445568e-06,True
positive-leaning,own,70,17,53,2.88,11.04,0.244,-2.036,28.827,1.0488607676445568e-06,True
positive-leaning,humour,22,0,22,0.0,4.58,0.017,-5.857,27.609,1.7485351318232414e-06,True
positive-leaning,classics,22,0,22,0.0,4.58,0.017,-5.857,27.609,1.7485351318232414e-06,True
positive-leaning,aidventure,22,0,22,0.0,4.58,0.017,-5.857,27.609,1.7485351318232414e-06,True
positive-leaning,story,154,55,99,9.32,20.62,0.397,-1.331,27.444,1.8632833250043514e-06,True
positive-leaning,take,48,9,39,1.53,8.12,0.183,-2.453,26.904,2.301004397575442e-06,True
positive-leaning,forward,21,0,21,0.0,4.38,0.018,-5.788,26.329,2.825651062582664e-06,True
positive-leaning,loved,21,0,21,0.0,4.38,0.018,-5.788,26.329,2.825651062582664e-06,True
positive-leaning,involved,21,0,21,0.0,4.38,0.018,-5.788,26.329,2.825651062582664e-06,True
positive-leaning,gameplay,42,7,35,1.19,7.29,0.161,-2.632,26.16,3.028340515861723e-06,True
positive-leaning,show,27,2,25,0.34,5.21,0.076,-3.72,25.514,4.014161965936798e-06,True
