direction,word,doc_freq_total,neg_docs_with_word,pos_docs_with_word,neg_rate_pct,pos_rate_pct,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value_fdr_bh,significant_5pct
positive-leaning,simple,1292,150,1142,2.27,4.57,0.487,-1.039,70.448,1.1845393734753291e-15,True
positive-leaning,excellent,410,18,392,0.27,1.57,0.176,-2.507,68.545,2.9951225815034545e-15,True
positive-leaning,delivers,286,4,282,0.06,1.13,0.06,-4.068,66.437,8.420475003223262e-15,True
positive-leaning,published,384,16,368,0.24,1.47,0.167,-2.58,65.893,1.1008842986104749e-14,True
positive-leaning,rating,604,46,558,0.7,2.23,0.31,-1.69,65.803,1.1477025426512221e-14,True
positive-leaning,visually,426,22,404,0.33,1.62,0.208,-2.268,64.735,1.9657993792520765e-14,True
positive-leaning,storytelling,375,16,359,0.24,1.44,0.172,-2.544,63.564,3.4559384667998646e-14,True
positive-leaning,traditional,257,2,255,0.03,1.02,0.037,-4.77,63.498,3.5468329547976425e-14,True
positive-leaning,satisfying,639,53,586,0.8,2.35,0.34,-1.558,62.764,5.073207318688661e-14,True
positive-leaning,memorable,299,8,291,0.12,1.16,0.109,-3.196,60.687,1.3905553142143882e-13,True
positive-leaning,succeeds,252,3,249,0.05,1.0,0.053,-4.25,59.729,2.2012922374436252e-13,True
positive-leaning,approach,388,20,368,0.3,1.47,0.208,-2.266,58.961,3.2192438057625605e-13,True
positive-leaning,offers,588,48,540,0.73,2.16,0.334,-1.58,58.863,3.3728545512830923e-13,True
positive-leaning,driven,378,19,359,0.29,1.44,0.203,-2.302,58.362,4.294651561823467e-13,True
positive-leaning,developed,478,33,445,0.5,1.78,0.281,-1.833,57.571,6.294967091210712e-13,True
positive-leaning,perfect,721,69,652,1.04,2.61,0.396,-1.335,57.371,6.901979411722156e-13,True
positive-leaning,different,1870,262,1608,3.97,6.44,0.601,-0.734,57.206,7.480998244950316e-13,True
positive-leaning,presentation,339,15,324,0.23,1.3,0.179,-2.484,56.31,1.1396483612791345e-12,True
positive-leaning,remains,311,12,299,0.18,1.2,0.156,-2.678,55.22,1.9664210086206604e-12,True
