appid,game_name,review_text,voted_up,votes_up,weighted_vote_score,timestamp
3205380,Omelet You Cook,"The game is really fun WHEN it works.
Right now there is a bug which straight up bricks runs, making it unplayable, and it remains unfixed for at least a month.
Not saying to not keep an eye on this, but don't buy it just yet.

upd: The bug MIGHT be fixed now in the latest patch but I can't personally confirm it yet--the patch also has introduced several game design decisions I strongly disagree with, making playing the current ""endgame"" incredibly unfun. I hope and trust the devs will be able to fix some of the glaring issues in the next major update, but for now I once again can't recommend the game--it isn't what I've enjoyed playing previously.

upd:

@SchuMode Thx for the response, yes, I am referencing the shop refresh bug and I've filed a couple of reports through the in-game report system when I've encountered it during the previous patch. Haven't seen it in the current patch yet, but I haven't been playing much this go around. If I end up playing again and come across it I'll make sure to send the logs your way. Cheers.",False,0,0.4545454680919647,1767897800
3205380,Omelet You Cook,"Either the calculations performed in the game are incorrect or the descriptions of abilities are. Either way, this leads to a frustrating experience when branching outside of tutorial levels and instead of opening up to more creative gameplay and complex strategies, it instead makes most of items things to avoid using thus making the game boring af",False,2,0.3697024285793304,1765763118
3205380,Omelet You Cook,"the game is neat and the mechanics are unique, it need a bit of polish to really shine. steam really needs a middle option or a not yet option",False,11,0.1496452540159225,1763697730
3205380,Omelet You Cook,Game is amazing. I just like to be different.,False,6,0.0984605476260185,1763537796
3205380,Omelet You Cook,"The game is really fun WHEN it works.
Right now there is a bug which straight up bricks runs, making it unplayable, and it remains unfixed for at least a month.
Not saying to not keep an eye on this, but don't buy it just yet.

upd: The bug MIGHT be fixed now in the latest patch but I can't personally confirm it yet--the patch also has introduced several game design decisions I strongly disagree with, making playing the current ""endgame"" incredibly unfun. I hope and trust the devs will be able to fix some of the glaring issues in the next major update, but for now I once again can't recommend the game--it isn't what I've enjoyed playing previously.

upd:

@SchuMode Thx for the response, yes, I am referencing the shop refresh bug and I've filed a couple of reports through the in-game report system when I've encountered it during the previous patch. Haven't seen it in the current patch yet, but I haven't been playing much this go around. If I end up playing again and come across it I'll make sure to send the logs your way. Cheers.",False,0,0.4545454680919647,1767897800
3205380,Omelet You Cook,"Either the calculations performed in the game are incorrect or the descriptions of abilities are. Either way, this leads to a frustrating experience when branching outside of tutorial levels and instead of opening up to more creative gameplay and complex strategies, it instead makes most of items things to avoid using thus making the game boring af",False,2,0.3697024285793304,1765763118
3205380,Omelet You Cook,"the game is neat and the mechanics are unique, it need a bit of polish to really shine. steam really needs a middle option or a not yet option",False,11,0.1496452540159225,1763697730
3205380,Omelet You Cook,Game is amazing. I just like to be different.,False,6,0.0984605476260185,1763537796
2105910,Garbanzo Quest,"Despite the creator advertising this as ""on par with Celeste or Pizza Tower"" or ""the most underrated game on Steam"", this truly is not a good game. Don't let the ""very positive"" feedback fool you as if there's one thing I've learned since using this platform: Just about any nostalgia-inducing game gets at least ""very positive"" feedback since nostalgia blindness is very prevalent in our current culture.

Despite its aesthetics, Garbanzo Quest completely forgets what made the games it's trying to emulate great. Instead of actually crafting an engaging challenge in the level design, this game's design philosophy boils down to ""spam enemies until the playtesters struggled"". This makes the game hard, sure, but hard in a frustrating way rather than a fun way. This definitely isn't a skill issue either, since I'm someone who beat the original Castlevania, and even the original Ninja Gaiden on real hardware with no cheats. It's not that I feel as though I couldn't beat this game, I just don't want to invest the effort because I don't find it fun.

The design philosophy isn't where this game's problems end either, just the main problem. The art in this game isn't even that great to begin with, looking worse than the average actual NES game in my opinion, but my bigger issue is the lack of variety in the level art. World after world is snow themed, and even changing palettes a little more would have done wonders for these backgrounds, but this combined with too many levels relative to original ideas added up to often feeling as if I was just playing the same level over and over. The constant walls of destructible blocks are also extremely annoying and didn't really add anything to the gameplay aside from slowing you down and making you hold down the fire button. As if repetitive designs weren't bad enough, the destructible blocks made it so this game didn't even have good pacing to get you through these dull sections.

Also, the hub where your friends stay is annoying and awkward to navigate with seemingly random twists, turns, and pits, when it could have just been one giant room. I got more tired of that place each time I visited.

If you're nostalgic for Super Mario World, you'd do better with a Super Mario World romhack than this, and those are free.",False,9,0.3686014413833618,1758249476
2105910,Garbanzo Quest,"Despite the creator advertising this as ""on par with Celeste or Pizza Tower"" or ""the most underrated game on Steam"", this truly is not a good game. Don't let the ""very positive"" feedback fool you as if there's one thing I've learned since using this platform: Just about any nostalgia-inducing game gets at least ""very positive"" feedback since nostalgia blindness is very prevalent in our current culture.

Despite its aesthetics, Garbanzo Quest completely forgets what made the games it's trying to emulate great. Instead of actually crafting an engaging challenge in the level design, this game's design philosophy boils down to ""spam enemies until the playtesters struggled"". This makes the game hard, sure, but hard in a frustrating way rather than a fun way. This definitely isn't a skill issue either, since I'm someone who beat the original Castlevania, and even the original Ninja Gaiden on real hardware with no cheats. It's not that I feel as though I couldn't beat this game, I just don't want to invest the effort because I don't find it fun.

The design philosophy isn't where this game's problems end either, just the main problem. The art in this game isn't even that great to begin with, looking worse than the average actual NES game in my opinion, but my bigger issue is the lack of variety in the level art. World after world is snow themed, and even changing palettes a little more would have done wonders for these backgrounds, but this combined with too many levels relative to original ideas added up to often feeling as if I was just playing the same level over and over. The constant walls of destructible blocks are also extremely annoying and didn't really add anything to the gameplay aside from slowing you down and making you hold down the fire button. As if repetitive designs weren't bad enough, the destructible blocks made it so this game didn't even have good pacing to get you through these dull sections.

Also, the hub where your friends stay is annoying and awkward to navigate with seemingly random twists, turns, and pits, when it could have just been one giant room. I got more tired of that place each time I visited.

If you're nostalgic for Super Mario World, you'd do better with a Super Mario World romhack than this, and those are free.",False,9,0.3686014413833618,1758249476
